2     /home/jake/Julia/rays/juliarays/Rays.jl; clamp_rgb8; line: 55
3     /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
19093 boot.jl; include; line: 238
        19093 /home/jake/Julia/rays/juliarays/main.jl; main; line: 14
           3     /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 265
           3     /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 267
           160   /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 269
           12    /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 272
           180   /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 273
           274   /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 275
            233 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
           18321 /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 276
            3    /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
            3    /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
            7290 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
             82   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
             93   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 123
             45   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 124
             15   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 127
             1150 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
             21   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 135
             1489 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
             1481 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
             804  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
             3    /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 142
             50   /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 143
             811  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 144
             122  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 146
              99 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
             1040 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
             1    /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
            1    /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 166
            18   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 167
            25   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 172
            113  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 175
            162  /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 176
             147 /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
            44   /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 179
            4678 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
             18  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 121
             51  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 123
             18  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 124
             10  /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 127
